Hierarchy,Parent SKU,SKU,Product Title,ASIN,FNSKU,Amazon Status,FBA Stock,Inbound,Reserved,Daily Velocity,Inventory Status,Last Synced
PARENT,,PARENT-CAR-ASC-BLK,Vyonix Alcantara Seat Cover – Premium Suede-Feel Car Seat Protector,,,,,,,,,
CHILD,PARENT-CAR-ASC-BLK,1PACK-CAR-ASC-BLK,Car Seat Cushion - Perforated Suede - 1 Pack,B0FR66QS19,,Active,106,0,3,0.00,Healthy,2026-05-14
CHILD,PARENT-CAR-ASC-BLK,2PACK-CAR-ASC-BLK,Car Seat Cushion - Perforated Suede - 2 Pack,B0FR81LQCV,,Active,62,0,5,0.00,Healthy,2026-05-14
PARENT,,PARENT-SEMI-BSC-BLK,Vyonix Semi Truck Beaded Seat Covers (new parent),B0DB2LDWPG,,Active,0,0,0,0.00,Healthy,2026-05-14
CHILD,PARENT-SEMI-BSC-BLK,VYB_SKM_10,Semi Truck Beaded Black 1-Pack,B0DB2LDWPG,,Active,0,400,3,0.00,Healthy,2026-05-14
CHILD,PARENT-SEMI-BSC-BLK,Uncommingled.MSKU.1721831781136,Semi Truck Beaded Black 1-Pack (MSKU),B0DB2LDWPG,,Active,0,0,0,0.00,Healthy,2026-05-14
CHILD,PARENT-SEMI-BSC-BLK,2PACK-SEMI-BSC-BLK,Semi Truck Beaded Black 2-Pack,B0FR7FMGB5,,Active,0,0,0,0.00,Healthy,2026-05-14
CHILD,PARENT-SEMI-BSC-BLK,2PACK-SEMI-BSC-BLK-stickerless,Semi Truck Beaded Black 2-Pack (stickerless),B0FR7FMGB5,,Active,0,171,0,5.00,Critical,2026-05-14
CHILD,PARENT-SEMI-BSC-BLK,SEMI-BSC-BLUE-1PACK,Semi Truck Beaded Blue 1-Pack,,,Not synced,,,,,,
CHILD,PARENT-SEMI-BSC-BLK,SEMI-BSC-BLUE-2PACK,Semi Truck Beaded Blue 2-Pack,,,Not synced,,,,,,
CHILD,PARENT-SEMI-BSC-BLK,SEMI-BSC-DARK-GREY-1PACK,Semi Truck Beaded Dark Grey 1-Pack,,,Not synced,,,,,,
CHILD,PARENT-SEMI-BSC-BLK,SEMI-BSC-DARK-GREY-2PACK,Semi Truck Beaded Dark Grey 2-Pack,,,Not synced,,,,,,
CHILD,PARENT-SEMI-BSC-BLK,SEMI-BSC-PURE-COFFEE-1PACK,Semi Truck Beaded Pure Coffee 1-Pack,,,Not synced,,,,,,
CHILD,PARENT-SEMI-BSC-BLK,SEMI-BSC-PURE-COFFEE-2PACK,Semi Truck Beaded Pure Coffee 2-Pack,,,Not synced,,,,,,
CHILD,PARENT-SEMI-BSC-BLK,SEMI-BSC-WINE-RED-1PACK,Semi Truck Beaded Wine Red 1-Pack,,,Not synced,,,,,,
CHILD,PARENT-SEMI-BSC-BLK,SEMI-BSC-WINE-RED-2PACK,Semi Truck Beaded Wine Red 2-Pack,,,Not synced,,,,,,
PARENT,,PARENT-SEMI-SWC-18,18" Semi Truck Steering Wheel Cover,,,,,,,,,
CHILD,PARENT-SEMI-SWC-18,BLK-SEMI-SWC-18--stickerless,SWC 18" Black (stickerless),B0F9FTG6H1,,Active,325,240,83,0.00,Healthy,2026-05-14
CHILD,PARENT-SEMI-SWC-18,BLK-SEMI-SWC-18-,SWC 18" Black,B0F9FTG6H1,,Active,0,0,0,0.00,Healthy,2026-05-14
CHILD,PARENT-SEMI-SWC-18,BLK-SEMI-SWC-18,SWC 18" Black (alt),B0F99VJZ28,,Active,0,0,0,0.00,Healthy,2026-05-14
CHILD,PARENT-SEMI-SWC-18,VX-SWC-S-001,SWC 18" Black (legacy),B0F94GGG8M,,Active,0,0,0,0.00,Healthy,2026-05-14
CHILD,PARENT-SEMI-SWC-18,BRN-SEMI-SWC-18--stickerless,SWC 18" Brown (stickerless),B0F9FQ64VL,,Active,93,96,65,0.00,Healthy,2026-05-14
CHILD,PARENT-SEMI-SWC-18,BRN-SEMI-SWC-18-,SWC 18" Brown,B0F9FQ64VL,,Active,0,0,0,0.00,Healthy,2026-05-14
CHILD,PARENT-SEMI-SWC-18,BRN-SEMI-SWC-18,SWC 18" Brown (alt),B0F99SPQ7J,,Active,0,0,0,0.00,Healthy,2026-05-14
CHILD,PARENT-SEMI-SWC-18,A7-3BAW-GPDV,SWC 18" Brown (legacy),B0F94JSFYZ,,Active,0,0,0,0.00,Healthy,2026-05-14
CHILD,PARENT-SEMI-SWC-18,TAN-RV-SWC-18-,SWC 18" Brown (Tan SKU - mislabeled),B0F9FRRWY1,,Active,72,0,1,0.00,Healthy,2026-05-14
CHILD,PARENT-SEMI-SWC-18,TAN-RV-SWC-18,SWC 18" Tan,B0F99VBGNV,,Active,0,0,0,0.00,Healthy,2026-05-14
CHILD,PARENT-SEMI-SWC-18,GRY-RV-SWC-18-,SWC 18" Tan (alt),B0F9FRD89J,,Active,0,0,0,0.00,Healthy,2026-05-14
CHILD,PARENT-SEMI-SWC-18,GRY-RV-SWC-18,SWC 18" Black/Grey,B0F99VFNW8,,Active,0,0,0,0.00,Healthy,2026-05-14
CHILD,PARENT-SEMI-SWC-18,GRY-SEMI-SWC-18--stickerless,SWC 18" Tan (stickerless),B0F9FRD89J,,Active,0,0,0,0.00,Healthy,2026-05-14
CHILD,PARENT-SEMI-SWC-18,W3-SR0D-ZEOT,SWC 18" Grey (legacy),B0F94G21Y9,,Active,0,0,0,0.00,Healthy,2026-05-14
CHILD,PARENT-SEMI-SWC-18,SEMI-SWC-18-BLKBLU-STKLS,SWC 18" Carbon Black/Blue,B0GTMSSW52,,Active,24,60,12,0.00,Healthy,2026-05-14
CHILD,PARENT-SEMI-SWC-18,SEMI-SWC-18-BLKBRN-STKLS,SWC 18" Carbon Black/Brown,B0GTMZTNQQ,,Active,24,48,24,0.00,Healthy,2026-05-14
CHILD,PARENT-SEMI-SWC-18,SEMI-SWC-18-BLKRED-STKLS,SWC 18" Carbon Black/Red,B0GTMNFLM3,,Active,59,48,1,0.00,Healthy,2026-05-14
PARENT,,RP-8ZZG-7CNK,Beaded Car Seat Cover (1 Unit - parent),B0CFD13QRM,,,,,,,,
CHILD,RP-8ZZG-7CNK,VY-001-BLK,Beaded Car Seat 1-Pack Royal Black,B0CFCQK58F,,Active,281,400,20,0.00,Healthy,2026-05-14
CHILD,RP-8ZZG-7CNK,Uncommingled.MSKU.1691745554430,Beaded Car Seat 1-Pack Royal Black (MSKU),B0CFCQK58F,,Active,0,0,0,0.00,Healthy,2026-05-14
CHILD,RP-8ZZG-7CNK,2PACK-CAR-BSC-BLK,Beaded Car Seat 2-Pack Royal Black,B0FR71W5XP,,Active,183,171,7,0.00,Healthy,2026-05-14
CHILD,RP-8ZZG-7CNK,VY-001-BRW,Beaded Car Seat 1-Pack Brown,B0CFCMMG89,,Active,0,0,0,0.00,Healthy,2026-05-14
CHILD,RP-8ZZG-7CNK,Uncommingled.MSKU.1691745613224,Beaded Car Seat 1-Pack Black (MSKU),B0CFCMMG89,,Active,0,0,0,0.00,Healthy,2026-05-14
PARENT,,RV-TAN-BSC-PARENT,RV Beaded Seat Cover,B0FFXH59ZR,,,,,,,,
CHILD,RV-TAN-BSC-PARENT,RV-TAN-BSC-2U-0,RV Captain Tan 2-Pack,B0FFN8WC94,X004QS4YLT,Active,148,1,2,0.00,Healthy,2026-05-14
CHILD,RV-TAN-BSC-PARENT,RV-TAN-BSC-2U,RV Captain Tan 2-Pack (alt),B0FFN8WC94,,Active,0,0,0,0.00,Healthy,2026-05-14
CHILD,RV-TAN-BSC-PARENT,RV-TAN-BSC,RV Captain Tan 1-Pack,B0FF5CSDDR,,Active,0,0,0,0.00,Healthy,2026-05-14
CHILD,RV-TAN-BSC-PARENT,RV-TAN-BSC-NEW,RV Captain Tan 1-Pack (NEW),B0FF5CSDDR,,Active,0,0,0,0.00,Healthy,2026-05-14
CHILD,RV-TAN-BSC-PARENT,RV-TAN-BSC-V2,RV Captain Tan 1-Pack (V2),B0FF5CSDDR,,Active,0,0,0,0.00,Healthy,2026-05-14
CHILD,RV-TAN-BSC-PARENT,Z4-T23J-ZZM2,RV Captain Tan 1-Pack (legacy),B0FF5CSDDR,,Active,0,0,0,0.00,Healthy,2026-05-14
PARENT,,ZN-C89O-3BC6,15" Carbon Fiber Steering Wheel Cover,B0F99QG25G,,Active,0,0,0,0.00,Healthy,2026-05-14
CHILD,ZN-C89O-3BC6,BLK-CAR-SWC-15-D,15" D-Shape Black,B0FVYJS213,,Active,5,0,2,0.00,Healthy,2026-05-14
CHILD,ZN-C89O-3BC6,Stickered.MSKU.1760377649837,15" D-Shape Black (MSKU),B0FVYJS213,,Active,0,0,0,0.00,Healthy,2026-05-14
CHILD,ZN-C89O-3BC6,BLK-CAR-SWC-15,15" Carbon Fiber Black,B0F99QG25G,,Active,0,0,0,0.00,Healthy,2026-05-14
CHILD,ZN-C89O-3BC6,BLK-CAR-SWC-15-stickerless,15" Carbon Fiber Black (stickerless),B0F99QG25G,,Active,0,0,0,0.00,Healthy,2026-05-14
CHILD,ZN-C89O-3BC6,4I-JXI9-5I2V,15" Carbon Fiber Black (legacy),B0F99QG25G,,Active,0,0,0,0.00,Healthy,2026-05-14
CHILD,ZN-C89O-3BC6,VX-SWC-001-Black,15" Black Leather (legacy),B0F94CC22T,,Active,0,0,0,0.00,Healthy,2026-05-14
